playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"100021","null","Patriots","DST","NE","DST","NE","-20.4","127","null","183.5","140","6","null","null","1.7","null","null","1.3","127","127","3.8005","null",
"100026","null","Cardinals","DST","ARI","DST","ARI","-20.7","126.7","null","147.8","141","7","null","null","3.35","null","null","2.9","126.7","126.7","1.0436","null",
"2543466","null","Eric Ebron","TE","DET","TE","DET","-20.8667","89.5","null","130.8","142","18","null","null","8.6","151.97","-9.97","1.2","89.5","89.5","4.8979","null",
"2550325","null","Chandler Catanzaro","K","ARI","K","ARI","-21","137.6","null","211","143","9","null","null","1.35","151.33","-8.33","1.3","137.6","137.6","2.9806","null",
"2533436","null","Brock Osweiler","QB","HOU","QB","HOU","-21.4967","247.4","null","180.5","144","19","null","null","2.61","142.27","1.73","2.8","247.4","247.4","3.7652","null",
"2495979","null","DeAngelo Williams","RB","PIT","RB","PIT","-21.5667","110.7","null","98.4","145","38","null","null","9.045","84.96","60.04","5","110.7","110.7","3.2354","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","-22.2","136.4","null","254.5","146","10","null","null","0.55","178.54","-32.54","0","136.4","136.4","5.6772","null",
"2532956","null","Ryan Tannehill","QB","MIA","QB","MIA","-22.2367","246.66","null","137.8","147","20","null","null","4.04","142.89","4.11","3.2","246.66","246.66","3.8868","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","-22.5","136.1","null","250.3","148","11","null","null","0.55","172.77","-24.77","0","136.1","136.1","5.003","null",
"2550636","null","Cairo Santos","K","KC","K","KC","-23","135.6","null","233.1","149","12","null","null","0.6","167.22","-18.22","0","135.6","135.6","4.1042","null",
"2506677","null","Matt Prater","K","DET","K","DET","-23.1","135.5","null","207.6","150","13","null","null","2.8","174.22","-24.22","1.2","135.5","135.5","5.2277","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","-23.5","123.9","null","142.9","151","8","null","null","1.55","null","null","4","123.9","123.9","1.8919","null",
"2503471","null","Adam Vinatieri","K","IND","K","IND","-24.1","134.5","null","211.4","152","14","null","null","3.7","155.19","-3.19","1.8","134.5","134.5","3.6548","null",
"100023","null","Giants","DST","NYG","DST","NYG","-24.6","122.8","null","211.6","153","9","null","null","1.5","null","null","0","122.8","122.8","4.8608","null",
"100024","null","Jets","DST","NYJ","DST","NYJ","-25.5","121.9","null","195.7","154","10","null","null","1.5","null","null","1.2","121.9","121.9","4.2246","null",
