playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2552424","null","Phillip Dorsett","WR","IND","WR","IND","-15.6333","89.1","null","135.7","153","46","null","null","1.55","142.22","10.78","1.2","89.1","89.1","5.0472","null",
"2500351","null","Phil Dawson","K","SF","K","SF","-15.8","24.3","null","176.5","154","30","null","null","2.3","null","null","0","24.3","24.3","7.215","null",
"100011","null","Packers","DST","GB","DST","GB","-16","119","null","201","155","11","null","null","0.5","null","null","1.3","119","119","4.0094","null",
"100020","null","Vikings","DST","MIN","DST","MIN","-16","119","null","191.8","155","11","null","null","1.5","null","null","1.6","119","119","4.6361","null",
"2555295","null","Sterling Shepard","WR","NYG","WR","NYG","-16.6333","88.1","null","98.5","157","47","null","null","1.95","110.91","46.09","3","88.1","88.1","4.2886","null",
"100005","null","Bears","DST","CHI","DST","CHI","-17","118","null","266.8","158","13","null","null","1","null","null","0","118","118","5.8895","null",
"2550551","null","Travis Coons","K","CLE","K","CLE","-17.6","22.5","null","230","159","31","null","null","10.5","null","null","0","22.5","22.5","2.5843","null",
"2556370","null","Michael Thomas","WR","NO","WR","NO","-17.7333","87","null","133","160","48","null","null","2.35","139.58","20.42","1.6","87","87","4.9998","null",
"100025","null","Eagles","DST","PHI","DST","PHI","-18","117","null","222.1","161","14","null","null","0","null","null","0","117","117","6.5162","null",
"100030","null","Seahawks","DST","SEA","DST","SEA","-18","117","null","142.9","161","14","null","null","0.5","null","null","4","117","117","1.9205","null",
"100031","null","Buccaneers","DST","TB","DST","TB","-18","117","null","272.4","161","14","null","null","1.5","null","null","0","117","117","5.2628","null",
"2534797","null","Greg Zuerlein","K","LA","K","LA","-18.6","21.5","null","183.5","164","32","null","null","19.9","null","null","0","21.5","21.5","7.0931","null",
"100028","null","Chargers","DST","SD","DST","SD","-19","116","null","259","165","17","null","null","1","null","null","0","116","116","4.4272","null",
"2532790","null","Travis Benjamin","WR","SD","WR","SD","-19.4333","85.3","null","114.5","166","49","null","null","1.4","136.23","29.77","1.4","85.3","85.3","3.7579","null",
"2504211","null","Tom Brady","QB","NE","QB","NE","-19.54","235.66","null","92","167","20","null","null","1.89","63.33","103.67","12.9","235.66","235.66","3.1003","null",
"2552582","null","Jay Ajayi","RB","MIA","RB","MIA","-19.8667","111.3","null","101.7","168","40","null","null","10.1","110.19","57.81","1.7","111.3","111.3","6.2084","null",
