playerId,player,playername,position,team,playerposition,playerteam,vor,points,actualPoints,overallECR,overallRank,positionRank,cost,salary,dropoff,adp,adpdiff,auctionValue,upper,lower,risk,sleeper
"2503471","null","Adam Vinatieri","K","IND","K","IND","-5.4","34","null","211.4","101","9","null","null","0.6","155.19","-54.19","1.8","34","34","3.6891","null",
"2505459","null","Josh Brown","K","NYG","K","NYG","-5.4","34","null","235.8","101","9","null","null","1.6","168.51","-67.51","1.1","34","34","6.3719","null",
"497149","null","LeGarrette Blount","RB","NE","RB","NE","-5.8867","121.59","null","100.8","103","33","null","null","6.01","94.89","8.11","2.3","121.59","121.59","3.9518","null",
"2495150","null","Kai Forbath","K","NO","K","NO","-6.6","32.8","null","187.5","104","11","null","null","0.85","null","null","0","32.8","32.8","10.0302","null",
"2552430","null","Tyler Lockett","WR","SEA","WR","SEA","-6.7567","110.52","null","76.7","105","39","null","null","2.06","86.57","18.43","3.4","110.52","110.52","3.4026","null",
"2550636","null","Cairo Santos","K","KC","K","KC","-7.4","32","null","233.1","106","12","null","null","0.45","167.22","-61.22","0","32","32","4.1769","null",
"2504257","null","Sebastian Janikowski","K","OAK","K","OAK","-7.5","31.9","null","196","107","13","null","null","0.95","168.21","-61.21","0","31.9","31.9","6.2499","null",
"2506400","null","Vincent Jackson","WR","TB","WR","TB","-7.9367","109.34","null","112.7","108","40","null","null","2.69","132.08","-24.08","1.5","109.34","109.34","3.4679","null",
"2539227","null","Dustin Hopkins","K","WAS","K","WAS","-8.2","31.2","null","212.5","109","14","null","null","0.7","182.12","-73.12","0","31.2","31.2","5.3963","null",
"2552033","null","Jameis Winston","QB","TB","QB","TB","-8.2953","253.884","null","116.2","110","15","null","null","2.625","101.7","8.3","3.8","253.884","253.884","4.2722","null",
"2541556","null","Brandon McManus","K","DEN","K","DEN","-8.7","30.7","null","232","111","15","null","null","0.55","155.53","-44.53","1.8","30.7","30.7","5.8841","null",
"2506677","null","Matt Prater","K","DET","K","DET","-9.1","30.3","null","207.6","112","16","null","null","0.35","174.22","-62.22","1.2","30.3","30.3","5.3963","null",
"2506194","null","Nick Novak","K","HOU","K","HOU","-9.4","30","null","254.5","113","17","null","null","0.15","178.54","-65.54","0","30","30","5.8841","null",
"2504797","null","Matt Bryant","K","ATL","K","ATL","-9.5","29.9","null","250.3","114","18","null","null","0.25","172.77","-58.77","0","29.9","29.9","5.1524","null",
"2543499","null","Derek Carr","QB","OAK","QB","OAK","-9.5913","252.588","null","112","115","16","null","null","3.456","96.82","18.18","3.2","252.588","252.588","4.9435","null",
"2536340","null","Justin Tucker","K","BAL","K","BAL","-9.6","29.8","null","203.4","116","19","null","null","0.3","137.22","-21.22","1.6","29.8","29.8","3.933","null",
"2550256","null","Willie Snead","WR","NO","WR","NO","-9.6967","107.58","null","104.3","117","41","null","null","3.355","113.72","3.28","1.6","107.58","107.58","3.4126","null",
"2550189","null","Isaiah Crowell","RB","CLE","RB","CLE","-9.8367","117.64","null","99.4","118","34","null","null","5.53","114.11","3.89","1.3","117.64","117.64","3.7296","null",
"2507225","null","Nick Folk","K","NYJ","K","NYJ","-9.9","29.5","null","212","119","20","null","null","0.1","null","null","0","29.5","29.5","7.9571","null",
"2507401","null","Dan Carpenter","K","BUF","K","BUF","-9.9","29.5","null","176.3","120","21","null","null","0.35","180.35","-60.35","0","29.5","29.5","5.3963","null",
"2506264","null","Robbie Gould","K","CHI","K","CHI","-10.1","29.3","null","241.5","121","22","null","null","0.3","172","-51","0","29.3","29.3","6.2499","null",
"2553833","null","Josh Lambo","K","SD","K","SD","-10.4","29","null","179.5","122","23","null","null","0.05","null","null","0","29","29","4.4208","null",
"2555408","null","Roberto Aguayo","K","TB","K","TB","-10.4","29","null","223.3","122","23","null","null","0.3","170.56","-48.56","1.4","29","29","6.128","null",
"2550380","null","Cody Parkey","K","PHI","K","PHI","-10.5","28.9","null","null","124","25","null","null","0.4","null","null","0","28.9","28.9","6.8596","null",
"2540158","null","Zach Ertz","TE","PHI","TE","PHI","-10.5733","100.08","null","95.7","125","9","null","null","3.47","104.42","20.58","2.4","100.08","100.08","5.2413","null",
"2532968","null","Blair Walsh","K","MIN","K","MIN","-10.9","28.5","null","212","126","26","null","null","0.2","160.51","-34.51","1.3","28.5","28.5","4.5427","null",
"2539637","null","Caleb Sturgis","K","PHI","K","PHI","-10.9","28.5","null","203.5","126","26","null","null","0.85","null","null","0","28.5","28.5","6.9816","null",
